1445-02-22 09:03:20.210 INFO  Logging to 'E:\Documents\Projects\FullStack\RetailDemo\Billing\bin\Debug\net6.0\' with level Info
1445-02-22 09:03:20.436 INFO  No valid license could be found. Falling back to trial license with start date '2023-09-05'.
1445-02-22 09:04:29.044 INFO  Logging to 'E:\Documents\Projects\FullStack\RetailDemo\Billing\bin\Debug\net6.0\' with level Info
1445-02-22 09:04:29.303 INFO  No valid license could be found. Falling back to trial license with start date '2023-09-05'.
1445-02-22 09:04:59.260 INFO  Billing - Received OrderPlaced, OrderId = ecf4d393-3abb-4f36-8f87-3d4970743162 - Charging credit card...
1445-02-22 09:05:43.526 INFO  Billing - Received OrderPlaced, OrderId = 311d0d6b-4ef4-41fe-86d4-3b7dc450c101 - Charging credit card...
1445-02-22 09:06:20.943 INFO  Billing - Received OrderPlaced, OrderId = 2f81f84f-2614-42ad-9afc-b364c92e40d3 - Charging credit card...
1445-02-22 09:06:20.989 INFO  Billing - Received OrderPlaced, OrderId = a9749530-df8d-4ea8-8020-4272c788dfa6 - Charging credit card...
1445-02-22 09:06:26.956 INFO  Billing - Received OrderPlaced, OrderId = 6b7a9ab6-8900-4ce9-91bd-6c688472819c - Charging credit card...
1445-02-22 09:06:59.295 INFO  Billing - Received OrderPlaced, OrderId = b8385b4d-b1bd-4ada-a6a8-4747f9131d17 - Charging credit card...
1445-02-22 09:07:50.817 INFO  Billing - Received OrderPlaced, OrderId = 444873d7-8062-4a5d-a1b6-2e0005514933 - Charging credit card...
1445-02-22 09:08:17.659 INFO  Logging to 'E:\Documents\Projects\FullStack\RetailDemo\Billing\bin\Debug\net6.0\' with level Info
1445-02-22 09:08:17.894 INFO  No valid license could be found. Falling back to trial license with start date '2023-09-05'.
1445-02-22 09:08:38.042 INFO  Billing - Received OrderPlaced, OrderId = 9f65523e-b598-43a1-abe9-2319736e5b13 - Charging credit card...
1445-02-22 09:09:35.480 INFO  Logging to 'E:\Documents\Projects\FullStack\RetailDemo\Billing\bin\Debug\net6.0\' with level Info
1445-02-22 09:09:35.727 INFO  No valid license could be found. Falling back to trial license with start date '2023-09-05'.
1445-02-22 09:09:50.562 INFO  Billing - Received OrderPlaced, OrderId = 8f689fd6-fa10-4956-a284-7cc7abd7cfae - Charging credit card...
